津波id,津波名,津波名(英語),文献id,文献名,文献名(英語),痕跡id,文献時代_市町村名,文献記載_地名,文献記載_かな,ひらがな・カナ,登録時_都道府県,登録時_市町村名,市町村名確認年月日,地点位置詳細情報,地名変遷等,地名_備考_仮位置,測地系,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒,住所地番情報_信頼度,地図等情報_信頼度,測定対象物,証言等,津波堆積物_層厚,津波堆積物_出典,文献記載_測定基準面,文献記載_測定基準_信頼度,地盤変位z,最大波,文献記載_痕跡高_下限,文献記載_痕跡高_上限,文献記載_史料記載値,文献記載_痕跡パターン,文献記載_高さ定義_信頼度,文献記載の痕跡高さ備考,tp_基準面補正方法,tp_痕跡高_下限,tp_痕跡高_上限,tp_痕跡パターン,測定方法,測定方法_その他,痕跡信頼度,判定理由,信頼度判定者,文献,雑誌,参照頁等,引用史料,原資料所在,文献信頼度,文献信頼度―備考,史料集名等,記載内容及び図表,原文備考,検潮所名
"0021","1707宝永地震津波","1707 Hoei","1","土佐國四大地震記","Records of the Four Major Earthquakes in Tosa","18","土佐","土佐（高知県）西側","tosa","とさ","高知県","","2008現在","","","高知県土佐清水市津呂","新測地系","32","45","50.008","133","0","37.242","△","△","","","","","","△","沈降","","","","","記載なし","△","","","","","記載なし","","","Z","痕跡値なしのため"Z"と判定（2010/10/25）","都司・松岡","土佐四国大地震記","地学雑誌，5，231-237，286-292，342-347，492-500","p.288","","","○","","","「宝永四年の変東は地高くなり西は低くなりしと云ふ（中略）南東に海を受ける国は漸々に浜出来て海地となり北西に海を受けたる国々は浜減て地海となる」","本文に「測量使は有名なる伊能忠敬氏にして、文化五年土佐国海岸線測量の為め来国せしものなり」とある。",""
"0021","1707宝永地震津波","1707 Hoei","1","土佐國四大地震記","Records of the Four Major Earthquakes in Tosa","20","土佐","土佐（高知県）東側","tosa","とさ","高知県","","2008現在","","","高知県室戸市室戸岬","新測地系","33","14","38.900","134","10","32.600","△","△","","","","","","△","隆起","","","","","記載なし","△","","","","","記載なし","","","Z","痕跡値なしのため"Z"と判定（2010/10/25）","都司・松岡","土佐四国大地震記","地学雑誌，5，231-237，286-292，342-347，492-500","p.288","","","○","","","「宝永四年の変東は地高くなり西は低くなりしと云ふ（中略）南東に海を受ける国は漸々に浜出来て海地となり北西に海を受けたる国々は浜減て地海となる」","本文に「測量使は有名なる伊能忠敬氏にして、文化五年土佐国海岸線測量の為め来国せしものなり」とある。",""
"0021","1707宝永地震津波","1707 Hoei","1","土佐國四大地震記","Records of the Four Major Earthquakes in Tosa","22","柏井","長岡郡海浜","Nagaokagun kaihin","ながおかぐんかいひん","高知県","高知市","2008現在","柏井（柏井灘?）","","高知県南国市　南国十市郵便局","新測地系","33","31","42.000","133","37","13.000","△","△","須臾の間に頭上を浸す","「柏井灘行録」","","","頭上","△","","","1.80","1.80","頭上(約1.8?)","浸水高","△","","","0.00","0.00","","","","C","浸水あるも到達地点は確認できず"南国十市郵便局"を位置設定とし"C"と判定（2010/10/25）","都司・松岡","土佐四国大地震記","地学雑誌，5，231-237，286-292，342-347，492-500","p.287","「柏井灘行録」","","◎","入力時に地点記載の誤りがあったため，修正してある．","『新収日本地震史料』第三巻別巻，p507","「長岡郡海浜
柏井灘行録に曰く忽津波溢来る、其声雷霆の地に落つる如く是東北十市の海畔より津波溢れ来る音也、須臾の間に頭上を浸し人皆?溺す」","",""
"0021","1707宝永地震津波","1707 Hoei","1","土佐國四大地震記","Records of the Four Major Earthquakes in Tosa","24","高智","土佐郡高知","Tosagun kochi","とさぐんこうち","高知県","","2008現在","高智","","高知県高知市本町　高知県庁","新測地系","33","33","34.000","133","31","55.000","○","△","","「聞出文肓」","","","当時の海水面？","△","","","6.10","6.10","2丈(6.1)","浸水高","△","地形より二丈潮高し","","0.00","0.00","","","","C","浸水あるも到達地点は確認できず"高知県庁"を位置設定とし"C"と判定（2010/10/25）","都司・松岡","土佐四国大地震記","地学雑誌，5，231-237，286-292，342-347，492-500","p.287","「聞出文肓」","","○","原典は遡及できず．","『新収日本地震史料』第三巻別巻，p540","「土佐郡海浜
聞出文肓に曰く高智地形より二丈〈6.1m〉も潮高き程なり大御門前迄海の様に成る」","",""
"0021","1707宝永地震津波","1707 Hoei","1","土佐國四大地震記","Records of the Four Major Earthquakes in Tosa","26","須崎","高岡郡須崎","Takaokagun Susaki","たかおかぐんすさき","高知県","須崎市","2008現在","","","高知県須崎市（須崎駅）","新測地系","33","23","33.385","133","17","35.459","○","△","","「宮崎高門筆記」","","","","△","沈降","","","","","記載なし","△","","","","","記載なし","","","Z","痕跡値なしのため"Z"と判定（2010/10/25）","都司・松岡","土佐四国大地震記","地学雑誌，5，231-237，286-292，342-347，492-500","p.288","「宮崎高門筆記」","","○","原典は遡及できず．","『新収日本地震史料』第三巻別巻，p541","「大震の時高岡郡須崎浦全部陥没し人民幸に免るゝもの北方土崎に村を建て旧名を襲ふて須崎と称す、即ち今の須崎町なり、陥没の地は現今海底となり舟船其上を往来せり、又此大震後は一般に国中東部の港深くなれり宮崎高門筆記に曰く」","旧須崎町は今の海底",""
"0021","1707宝永地震津波","1707 Hoei","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","2","土佐清水市","津呂","tsuro","つろ","高知県","土佐清水市","2008現在","","","高知県土佐清水市津呂","新測地系","32","46","2.410","133","0","28.099","○","△","津呂の港出入り不自由になる","「弘列筆記一名万変記」","","","","△","地盤隆起210～240","","","","","記載なし","△","","","","","記載なし","","","Z","痕跡値なしのため"Z"と判定（2010/10/25）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.15","「弘列筆記一名万変記」","","◎","引用史料は澤田十四郎の随筆","","","「津呂室津ノ辺ハ又七八尺モ爾来ヨリユリアケ高ク成リタルヨリ津呂ノ湊、出入不成、通路不自由ニ成タル（後略）」",""
"0021","1707宝永地震津波","1707 Hoei","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","4","土佐","室津","murotsu","むろつ","高知県","土佐市","2008現在","","","高知県室戸市室津","新測地系","33","17","27.158","134","8","45.118","○","△","津呂の港出入り不自由になる","「弘列筆記一名万変記」","","","","△","地盤隆起210～240","","","","","記載なし","△","","","","","記載なし","","","Z","痕跡値なしのため"Z"と判定（2010/10/25）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.15","「弘列筆記一名万変記」","","◎","引用史料は澤田十四郎の随筆","","","「津呂室津ノ辺ハ又七八尺モ爾来ヨリユリアケ高ク成リタルヨリ津呂ノ湊、出入不成、通路不自由ニ成タル（後略）」",""
"0021","1707宝永地震津波","1707 Hoei","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","6","高知市","浦戸","Urado","うらど","高知県","高知市","2008現在","","","高知県高知市浦戸　磯崎御殿跡付近","新測地系","33","29","54.000","133","34","4.000","○","△","","「弘列筆記一名万変記」","","","","△","","第3波","21.20","24.20","7～8丈","浸水高","△","","","","","記載なし","","","精査中","高さに関して調査が必要と思われるため「精査中」とする（2013/8/10）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.14","「弘列筆記一名万変記」","","◎","引用史料は澤田十四郎の随筆","","","「種崎ノ浜ハ死人最多シ浪入数度ノ内，初度メハ強カラズ，三度目ノ浪高サ七八丈バカリ此浪ﾆ磯崎御殿不残流失ｽ」",""
"0021","1707宝永地震津波","1707 Hoei","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","40","新居町","新居","arai","あらい","静岡県","湖西市","2008現在","","","新居町駅","新測地系","34","41","39.575","137","34","8.509","○","○","","次の関守の手記","","","","△","","","3.00","3.00","","浸水高","○","","","0.00","0.00","","","","B","図に地点が示されているが、痕跡高さについて近年の再測量がなされていないため、"B"と判定（2011/12/09）","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.296~297
p.296(№12附図第6図)","関守・冨永某の手記","","◎","関所記録（匹田氏所蔵記録）に基づき，関所の高さを測っている．信頼度の高い史料であり，◎とする．","『日本地震史料』，1951，P250","","丁亥十月四日未上刻地大に震て御関所潰れ津浪来ること丈計りにして三度然共公事の御印鑑御証文御関所囲の土手に上り無恙番人も又然り此刻僕番日に当り新居宿家潰事三四八軒船流出する事四八艘溺死者二一人，渡止る事四五日",""
"0021","1707宝永地震津波","1707 Hoei","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","194","下田市","下田（旧岡方村）","shimoda","しもだ","静岡県","下田市","2008現在","","","旧岡方村付近","新測地系","34","40","39.770","138","55","37.773","○","○","","","","","","△","","","4.40","4.40","","不明","○","","","0.00","0.00","","","","C","浸水あるも到達地点は特定できず。"旧岡方村"を位置設定とし"C"と判定(2011/12/09)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.293~295","","","○","伝承に基づいて現地を調査したか．古記録としては評価できないが，調査地点の根拠ありと考え○と判断する．","『日本地震史料』，1951，P249","","",""
