津波id,津波名,津波名(英語),文献id,文献名,文献名(英語),痕跡id,文献時代_市町村名,文献記載_地名,文献記載_かな,ひらがな・カナ,登録時_都道府県,登録時_市町村名,市町村名確認年月日,地点位置詳細情報,地名変遷等,地名_備考_仮位置,測地系,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒,住所地番情報_信頼度,地図等情報_信頼度,測定対象物,証言等,津波堆積物_層厚,津波堆積物_出典,文献記載_測定基準面,文献記載_測定基準_信頼度,地盤変位z,最大波,文献記載_痕跡高_下限,文献記載_痕跡高_上限,文献記載_史料記載値,文献記載_痕跡パターン,文献記載_高さ定義_信頼度,文献記載の痕跡高さ備考,tp_基準面補正方法,tp_痕跡高_下限,tp_痕跡高_上限,tp_痕跡パターン,測定方法,測定方法_その他,痕跡信頼度,判定理由,信頼度判定者,文献,雑誌,参照頁等,引用史料,原資料所在,文献信頼度,文献信頼度―備考,史料集名等,記載内容及び図表,原文備考,検潮所名
"0045","1854安政南海地震津波","1854 Ansei Nankai","1","土佐國四大地震記","Records of the Four Major Earthquakes in Tosa","57","大月町","安満地","Amaji","あまじ","高知県","大月町","","","","高知県大月町　安満地簡易局","新測地系","32","48","5.000","132","39","15.000","○","△","民家坐上2～3尺潮上がる","当時の実見記録","","","人家床","△","","","0.30","0.60","2～3尺(0.3～0.6)","浸水深","△","","","0.00","0.00","記載なし","","","C","浸水あるも到達地点は確認でできず”安満地簡易局”を位置設定とし”C”と判定（2010/10/04）","都司・松岡","土佐四国大地震記","地学雑誌，5，231-237，286-292，342-347，492-500","p.343","当時の実見記録","","○","この論文は，安政南海地震からそれほど時間が経っていない時期にかかれたものであることから，これ自体を原文献と判断する．","","","「幡多郡安満地
人家坐上に汐上る、二三尺〈0.6～0.9m〉」",""
"0045","1854安政南海地震津波","1854 Ansei Nankai","1","土佐國四大地震記","Records of the Four Major Earthquakes in Tosa","59","高知市","高知","Kochi","こうち","高知県","高知市","","","","高知県高知市浦戸（桂浜）","新測地系","33","29","51.000","133","34","31.000","○","△","地潮より3尺4～5寸高潮となる","当時の実見記録","","","当時の海水面","△","","","1.00","1.10","3尺4～5寸(1.0～1.1)","浸水高","△","","","0.00","0.00","記載なし","","","C","浸水あるも到達地点は確認でできず”桂浜”を位置設定とし”C”と判定（2010/10/04）","都司・松岡","土佐四国大地震記","地学雑誌，5，231-237，286-292，342-347，492-500","p.343","当時の実見記録","","○","この論文は，安政南海地震からそれほど時間が経っていない時期にかかれたものであることから，これ自体を原文献と判断する．","","","「吾川郡浦戸
（中略）高知地潮より三尺四五寸〈1.0～1.1m〉高し（後略）」",""
"0045","1854安政南海地震津波","1854 Ansei Nankai","1","土佐國四大地震記","Records of the Four Major Earthquakes in Tosa","61","高知市","浦戸","Urado","うらど","高知県","高知市","","","","高知県高知市浦戸（桂浜）","新測地系","33","29","51.000","133","34","31.000","○","△","波、人家坐上より5尺上がる","当時の実見記録","","","人家床","△","","","1.50","1.50","5尺(1.5)","浸水深","△","","","0.00","0.00","記載なし","","","C","浸水あるも到達地点は確認でできず”桂浜”を位置設定とし”C”と判定（2010/10/04）","都司・松岡","土佐四国大地震記","地学雑誌，5，231-237，286-292，342-347，492-500","p.343","当時の実見記録","","○","この論文は，安政南海地震からそれほど時間が経っていない時期にかかれたものであることから，これ自体を原文献と判断する．","","","「吾川郡浦戸
（中略）然も余波高く入り、浦戸は人家坐上より五尺〈1.5m〉上る（後略）」",""
"0045","1854安政南海地震津波","1854 Ansei Nankai","1","土佐國四大地震記","Records of the Four Major Earthquakes in Tosa","63","高知市","高知（浦戸港内）","Kochi(Uradokonai)","こうち","高知県","高知市","","","","高知県高知市鏡川河口部","新測地系","33","33","5.100","133","33","49.400","○","△","地潮より3尺4～5寸高潮となる","当時の実見記録","","","当時の海水面","△","","","1.00","1.10","3尺4～5寸(1.0～1.1)","浸水高","△","","","0.00","0.00","記載なし","","","C","浸水あるも到達地点は確認でできず”鏡川河口部”を位置設定とし”C”と判定（2010/10/04）","都司・松岡","土佐四国大地震記","地学雑誌，5，231-237，286-292，342-347，492-500","p.342～343","当時の実見記録","","○","この論文は，安政南海地震からそれほど時間が経っていない時期にかかれたものであることから，これ自体を原文献と判断する．","","","「土佐郡高知
十一月五日大潮入り瞬く中浦戸港内地潮より三尺四五寸〈1.0～1.1m〉高潮となり城東下知新町一円海となる」",""
"0045","1854安政南海地震津波","1854 Ansei Nankai","1","土佐國四大地震記","Records of the Four Major Earthquakes in Tosa","65","大月町","柏島","Kashiwajima","かしわじま","高知県","大月町","","","","高知県幡多郡大月町柏島","新測地系","32","46","19.441","132","37","39.904","○","△","山のごとき波，大潮がひいた後も平地は一尺の余浪がひたしていた","当時の実見記録","","","","△","沈降(30)","","","","","記載なし","△","","","","","記載なし","","","Z","痕跡値なしのため”Z”と判定（2010/10/04）","都司・松岡","土佐四国大地震記","地学雑誌，5，231-237，286-292，342-347，492-500","p.344","当時の実見記録","","○","この論文は，安政南海地震からそれほど時間が経っていない時期にかかれたものであることから，これ自体を原文献と判断する．","","","「同（幡多）郡柏島
十一月五日大震後山の如き大浪三度打来る、稲荷宮安産木の辺に至り退く、大潮退く後も平地は猶ほ一尺〈0.3m〉の余浪浸し居れり」",""
"0045","1854安政南海地震津波","1854 Ansei Nankai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","9","出雲市","大島","oshima","おおしま","島根県","出雲市","2008現在","","","島根県出雲市大島","新測地系","35","20","25.000","132","41","40.000","○","△","","","","","","△","地盤沈降61","","","","","記載なし","△","","","","","記載なし","","","Z","痕跡値なしのため”Z”と判定（2010/10/04）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.36","松江江遣候岡元四郎、罷帰申聞候、雲州地震之荒増（嘉永甲寅諸国地震記）","","◎","これは液状化による揺り込みであり、地殻変動によるものではないと思われる","日本地震史料第四巻、p102","","「田畑一町歩ハ二尺程陥下」",""
"0045","1854安政南海地震津波","1854 Ansei Nankai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","11","高知市","浦戸","urado","うらど","高知県","高知市","2008現在","","","高知県高知市浦戸（桂浜）","新測地系","33","29","51.000","133","34","31.000","○","△","岸の家床上5尺浸水","","","","床上","△","","","1.50","1.50","5尺","浸水深","△","","","0.00","0.00","記載なし","","","C","浸水あるも到達地点は確認でできず”桂浜”を位置設定とし”C”と判定（2010/10/04）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.42","","","○","この文献自体を史料集であると判断し，引用史料は空欄としている．","","","「浦戸御殿ハ異條無カリシモ潮ハ山ニ達シ岸ナル家ノ床上五尺マデ浸水シ、」",""
"0045","1854安政南海地震津波","1854 Ansei Nankai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","13","高知市","新町","shinmachi","しんまち","高知県","高知市","2008現在","他に、高須新町や横浜新町があり、どれが該当するのか不明","","高知県高知市潮新町　潮江小学校","新測地系","33","33","3.000","133","33","4.000","○","△","床上1尺浸水","","","","床上","△","","","0.30","0.30","1尺","浸水深","△","","","0.00","0.00","記載なし","","","C","浸水あるも到達地点は確認でできず”潮江小学校”を位置設定とし”C”と判定（2010/10/04）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.42","","","○","この文献自体を史料集であると判断し，引用史料は空欄としている．","","","「新町モ東足軽町ハ後ノ築立ニテ低キヲ以テ床上一尺余モ潮水ニ浸サレ」",""
"0045","1854安政南海地震津波","1854 Ansei Nankai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","15","高知市","高知","kouchi","こうち","高知県","高知市","2008現在","","","高知県高知市鏡川河口部","新測地系","33","33","5.100","133","33","49.400","○","△","岸の家床上5尺浸水","","","","平常の潮水","○","","","1.00","1.10","3尺4～5寸","浸水高","△","","","0.00","0.00","記載なし","","","D","到達地点は確認でできず”鏡川河口部”を位置設定とし”D”と判定（2010/10/04）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.42","","","○","この文献自体を史料集であると判断し，引用史料は空欄としている．","","","「高知ニテハ平常ノ潮水ヨリ三尺四五寸高カリキ」",""
"0045","1854安政南海地震津波","1854 Ansei Nankai","37","土佐に於ける寳永安政両度津浪の高さ","The Height of the 1707 Hoei and 1854 Ansei Tsunamis at Tosa","193","土佐市","宇佐","usa","うさ","高知県","土佐市","2008現在","","","安政の碑","新測地系","33","27","21.000","133","26","15.000","○","○","安政津波碑","安政津波碑","","","測定時の海水面上","○","","","8.50","8.50","","浸水高","○","","","0.00","0.00","記載なし","","","B","到達地点として”安政の碑”を位置設定とし”B”と判定（2010/10/12）","都司・松岡","土佐における宝永・安政両度津波の高さ","地震，第10巻，394-404（1938）","p.398～399・403
p.399（第3図　タイトルなし浸水図）","","","○","津波碑を基にしているが、実際の浸水線よりも上に建てられたことから、ここでは○としておく","","","p.398「（中略）其の（安政津波碑）位置は津浪浸水線よりも約1米高きところに定められたとあるから，安政津浪の上った高さは8.5米であつたといふことになる.」@@p.403に「波高に関する上記の結果を一表に纏めると次の通りになる」として表あり。",""
