津波id,津波名,津波名(英語),文献id,文献名,文献名(英語),痕跡id,文献時代_市町村名,文献記載_地名,文献記載_かな,ひらがな・カナ,登録時_都道府県,登録時_市町村名,市町村名確認年月日,地点位置詳細情報,地名変遷等,地名_備考_仮位置,測地系,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒,住所地番情報_信頼度,地図等情報_信頼度,測定対象物,証言等,津波堆積物_層厚,津波堆積物_出典,文献記載_測定基準面,文献記載_測定基準_信頼度,地盤変位z,最大波,文献記載_痕跡高_下限,文献記載_痕跡高_上限,文献記載_史料記載値,文献記載_痕跡パターン,文献記載_高さ定義_信頼度,文献記載の痕跡高さ備考,tp_基準面補正方法,tp_痕跡高_下限,tp_痕跡高_上限,tp_痕跡パターン,測定方法,測定方法_その他,痕跡信頼度,判定理由,信頼度判定者,文献,雑誌,参照頁等,引用史料,原資料所在,文献信頼度,文献信頼度―備考,史料集名等,記載内容及び図表,原文備考,検潮所名
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","1","田辺町","田辺","tanabe","たなべ","和歌山県","田辺市","2008現在","","1942.5.20田辺市","和歌山県田辺市会津川河口部","新測地系","33","43","47.000","135","22","17.000","○","△","","","","","平常の潮水","○","","","2.40","2.70","8～9尺","浸水高","○","","","0.00","0.00","記載なし","","","C","潮（海面）からの高さのみで詳細位置が不明のため”会津川河口部”へ位置設定．到達地点が不明なため”C”と判定（2010/10/12）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.28～29","","","○","この文献自体を史料集であると判断し，引用史料は空欄としている．","","","「潮ノ高低ハ八九尺」",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","3","甲賀村","甲賀","Kouka","こうか","三重県","志摩市","","甲賀の浜辺に移動","1955.1.1阿児町→2004.10.01志摩市","三重県志摩市阿児町甲賀、安政碑","新測地系","34","19","8.849","136","53","2.470","○","△","","","","","","","","","10.60","10.60","3丈5尺","浸水高","△","","","","","記載なし","","","C","浸水あるも到達地点は特定できず。”甲賀”付近の海岸として位置設定とし”C”と判定(2010/11/12)","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.27","","","○","この文献自体を史料集であると判断し，引用史料は空欄としている．","","「磯際ニテノ浪ノ高サハ約三丈五尺ニシテ，浪先キハ凡十七八モ進ミ来レリト云フ」","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","5","鳥羽町","鳥羽","toba","とば","三重県","鳥羽市","2008現在","","1954.11.1鳥羽市","三重県鳥羽市鳥羽（鳥羽駅）","新測地系","34","29","11.614","136","50","33.519","○","△","","","","","","","","","4.50","4.80","1丈5～6尺","浸水高","△","","","","","記載なし","","","C","浸水あるも到達地点は特定できず。”鳥羽”付近を位置設定とし”C”と判定(2010/11/12)","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.26","","","○","この文献自体を史料集であると判断し，引用史料は空欄としている．","","「鳥羽ニ於ケル津浪ノ高サハ一丈五六尺」","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","9","甲賀村","浜田","hamada","はまだ","三重県","志摩市","","","1955.1.1阿児町→2004.10.01志摩市","三重県志摩市阿児町甲賀浜田","新測地系","34","19","18.000","136","52","56.000","○","△","","","","","","","","第3波","6.10","6.10","2丈","浸水高","△","","","","","記載なし","","","C","浸水あるも到達地点は特定できず。”浜田”付近として位置設定とし”C”と判定(2010/11/12)","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.28","","","○","この文献自体を史料集であると判断し，引用史料は空欄としている．","","「第三回ノ波押シ来リタルヲ以テ山ヘ逃ゲ上リタルニ潮ノ高サハ約二丈（後略）」","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","11","東京市","東京湾","tokyo wan","とうきょうわん","東京都","江東区","2008現在","","1943.7.1区制→1947.3.15台東区","東京都江東区有明 (東京国際展示場)","新測地系","35","37","47.888","139","47","38.051","○","△","平常潮水より3～9尺高い","","","","平常の潮水","○","","","0.90","2.40","3,4尺～7,8尺","浸水高","○","","","0.00","0.00","","","","D","東京湾全体の広域的な値なので”D”と判定(2012/06/20)","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.19","","","△","この文献自体を史料集であると判断し，引用史料は空欄．ただし広範囲を対象とするものであることから，信頼度を一段階下げている．","","「格別の損害は無カリシモ、潮水ハ平常ヨリ三四尺乃至八九尺ノ高ヲ増シ（後略）」","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","13","浦戸村","土佐湾","tosa wan","とさわん","高知県","高知市","2008現在","","1942.6.1高知市","高知県高知市浦戸（桂浜）","新測地系","33","29","51.000","133","34","31.000","○","△","平常潮水より3～9尺高い","","","","平常の潮水","○","","","0.90","2.40","3,4尺～7,8尺","浸水高","△","","","0.00","0.00","記載なし","","","D","土佐湾（広域）のため地名の確認できず”桂浜”へ位置設定し”D”と判定（2010/10/12）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.19","","","△","この文献自体を史料集であると判断し，引用史料は空欄．ただし広範囲を対象とするものであることから，信頼度を一段階下げている．","","","「格別の損害は無カリシモ、潮水ハ平常ヨリ三四尺乃至八九尺ノ高ヲ増シ（後略）」",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","15","鳥羽町","鳥羽","toba","とば","三重県","鳥羽市","2008現在","","1954.11.1鳥羽市","三重県鳥羽市鳥羽（鳥羽駅）","新測地系","34","29","11.303","136","50","34.022","○","△","","","","","","","","","6.10","9.10","2～3丈","浸水高","△","","","","","記載なし","","","C","浸水あるも到達地点は特定できず。”鳥羽”付近を位置設定とし”C”と判定(2010/11/12)","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.26","","","△","この文献自体を史料集であると判断し，引用史料は空欄．ただし広範囲を対象とするものであることから，信頼度を一段階下げている．","","「附迄（近ヵ）ノ海浜ニテハ二丈乃至三丈ニ及ビ七丈余ノ小山ヲ打越シタルモアリシトゾ」","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","17","相良町","相良","sagara","さがら","静岡県","牧之原市","","","2005.10.11牧之原市","静岡県相良町（牧之原市役所相良庁舎）","新測地系","34","41","10.675","138","11","55.148","○","△","","","","","","","","","5.20","5.40","1丈7～8尺","浸水高","△","","","","","記載なし","","","C","浸水あるも到達地点は特定できず。相良付近として庁舎を位置設定とし”C”と判定(2010/11/12)","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.22","","","○","入力時に地点記載の誤りあり（修正済）．この文献自体を史料集であると判断し，引用史料は空欄としている．","","「一丈七八尺ノ津浪来レリ」","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","19","川崎町","川崎","kawasaki","かわさき","静岡県","牧之原市","2008現在","","1955.3.28?原町→2005.10.11牧之原市","静岡県牧之原市（牧之原市榛原庁舎）","新測地系","34","44","23.965","138","13","28.927","○","△","","","","","","","","","5.20","5.40","1丈7～8尺","浸水高","△","","","","","記載なし","","","C","浸水あるも到達地点は特定できず。川崎付近として庁舎を位置設定とし”C”と判定(2010/11/12)","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.22","","","○","入力時に地点記載の誤りあり（修正済）．この文献自体を史料集であると判断し，引用史料は空欄としている．","","「一丈七八尺ノ津浪来レリ」","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","21","南知多町","内海","utsumi","うつみ","愛知県","南知多町","2008現在","知多郡南知多町内海近辺に移動","","","新測地系","34","44","40.253","136","52","29.743","○","△","","","","","","","","","1.20","1.50","4～5尺","浸水高","△","","","","","記載なし","","","C","浸水あるも到達地点は特定できず。”内海”付近を位置設定とし”C”と判定(2010/11/12)","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.23","","","○","この文献自体を史料集であると判断し，引用史料は空欄としている．","","「潮水四五尺高ク満チタルモ別条ナシ、智（知ヵ）多郡ヘノ道ハ田畑一二尺モツキ上ゲタル所アリ」","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","23","東京市","江戸","edo","えど","東京都","台東区","","現在、山谷堀は埋め立てられているため、江戸絵図より水門推定","1943.7.1区制→1947.3.15台東区","東京都台東区（今戸住宅）","新測地系","35","43","18.764","139","48","27.011","○","△","屋根船、茶船損じる","","","","常水（当時の平均海水面）","○","","","0.90","1.20","3～4尺","浸水高","○","","","","","記載なし","","","C","浸水あるも到達地点は特定できず。山谷堀の水門付近を位置設定とし”C”と判定(2010/11/12)","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.18","","","○","この文献自体を史料集であると判断し，引用史料は空欄としている．","","「当日山谷堀ニテハ潮の差シ方、常水ヨリ三四尺モ高ク屋根船、茶船ノ損ゼルモノアリ、」","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","25","鳥羽町","鳥羽","toba","とば","三重県","鳥羽市","2008現在","羽鳥(1978)に従い鳥羽駅前に移動","1954.11.1鳥羽市","","新測地系","34","29","10.809","136","50","31.537","○","△","床上3～4尺波に浸る","","","","床上","◎","","","0.90","1.20","3～4尺","浸水深","○","","","0.00","0.00","記載なし","","","C","岩崎下通りの家との記載からでは詳細位置が特定されないため”C”と判定(2012/06/12)","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.26","","","○","この文献自体を史料集であると判断し，引用史料は空欄としている．","","「岩崎下通リノ家ハ床上三四尺迄デ潮ニ浸サレタリ」","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","29","大阪市","大阪湾","osaka wan","おおさかわん","大阪府","大阪市","2008現在","","","天保山（大阪検潮所）","新測地系","34","39","29.000","135","25","58.000","○","△","平常潮水より3～9尺高い","","","","平常の潮水","○","","","0.90","2.40","3,4尺～7,8尺","浸水高","△","","","0.00","0.00","記載なし","","","D","大阪湾（広域）のため地名の確認できず”天保山（大阪検潮所）”へ位置設定し”D”と判定（2010/10/12）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.19","","","△","この文献自体を史料集であると判断し，引用史料は空欄．ただし広範囲を対象とするものであることから，信頼度を一段階下げている．","","","「格別の損害は無カリシモ、潮水ハ平常ヨリ三四尺乃至八九尺ノ高ヲ増シ（後略）」",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","10","本邦大地震概説","An Overview of Major Earthquakes in Japan","31","田辺町","田辺湾","tanabe wan","たなべわん","和歌山県","田辺市","2008現在","","1942.5.20田辺市","和歌山県田辺市会津川河口部","新測地系","33","43","47.000","135","22","2.257","○","△","平常潮水より3～9尺高い","","","","平常の潮水","○","","","0.90","2.40","3,4尺～7,8尺","浸水高","△","","","0.00","0.00","記載なし","","","D","田辺湾（広域）のため地名の確認できず”会津川河口部”へ位置設定し”D”と判定（2010/10/12）","都司・松岡","本邦大地震概説","震災予防調査会第六八号乙，13-52","p.19","","","△","この文献自体を史料集であると判断し，引用史料は空欄．ただし広範囲を対象とするものであることから，信頼度を一段階下げている．","","","「格別の損害は無カリシモ、潮水ハ平常ヨリ三四尺乃至八九尺ノ高ヲ増シ（後略）」",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","113","松崎町","松崎","Matsuzaki","まつざき","静岡県","松崎町","2008現在","","","静岡県賀茂郡松崎町","新測地系","34","44","58.796","138","46","39.846","○","○","","","","","","△","","","3.00","3.00","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.291～292
p.291（№3第2図）","","","○","伝承によるか","『日本地震史料』，1951，P247","№3第２図　タイトルなし浸水図","安政東海地震津波で浸水戸数340戸(内旧江奈村100戸のうち旧松崎村190戸全損，旧道部村130戸全損，旧宮内村20戸の内15戸．）松崎全体として流出家屋なし，死傷者なし，船流出破損多数",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","115","松崎町","松崎","Matsuzaki","まつざき","静岡県","松崎町","2010現在","","","静岡県賀茂郡松崎町","新測地系","34","45","2.000","138","46","34.000","○","○","","","","","","△","","","3.30","3.30","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.291～292
p.291（№3第2図）","","","○","伝承によるか","『日本地震史料』，1951，P247","№3第２図　タイトルなし浸水図","安政東海地震津波で浸水戸数340戸(内旧江奈村100戸のうち旧松崎村190戸全損，旧道部村130戸全損，旧宮内村20戸の内15戸．）松崎全体として流出家屋なし，死傷者なし，船流出破損多数",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","117","松崎町","松崎","Matsuzaki","まつざき","静岡県","松崎町","2008現在","","","静岡県賀茂郡松崎町","新測地系","34","45","28.000","138","46","49.000","○","○","","","","","","△","","","3.60","3.60","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.291～292
p.291（№3第2図）","","","○","伝承によるか","『日本地震史料』，1951，P247","№3第２図　タイトルなし浸水図","安政東海地震津波で浸水戸数340戸(内旧江奈村100戸のうち旧松崎村190戸全損，旧道部村130戸全損，旧宮内村20戸の内15戸．）松崎全体として流出家屋なし，死傷者なし，船流出破損多数",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","119","南伊豆町","妻良","Mera","めら","静岡県","南伊豆町","2008現在","","","静岡県賀茂郡南伊豆町妻良","新測地系","34","39","29.000","138","47","28.000","○","○","","","","","","△","","","4.82","4.82","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.292～293
p.292（№4第3図）","","","○","伝承によるか","『日本地震史料』，1951，P248","№4第3図　タイトルなし浸水図","安政東海地震で浸水戸数100戸内外（当時戸数146戸の内），流出倒壊家屋5戸（流出2戸，倒壊3戸），船破損多数，死傷者なし",""
